Client Order ID,Instrument,Side,Price,Quantity
aaa1,Tulip,1,62.13,850
aaa2,Tulip,2,44.65,230
aaa3,Lotus,1,35.67,780
aaa4,Orchid,1,18.38,90
aaa5,Orchid,2,80.21,550
aaa6,Lavender,1,6.03,180
aaa7,Lavender,2,69.41,280
aaa8,Lotus,2,71.82,200
aaa9,Tulip,2,90.40,270
aaa10,Orchid,2,59.48,890
aaa11,Lotus,2,11.85,350
aaa12,Rose,1,21.33,40
aaa13,Orchid,2,42.74,870
aaa14,Orchid,2,64.49,440
aaa15,Rose,1,20.82,900
aaa16,Lotus,2,65.75,910
aaa17,Rose,2,26.92,710
aaa18,Lotus,1,30.19,110
aaa19,Rose,2,86.77,830
aaa20,Rose,1,79.83,540
aaa21,Orchid,1,51.73,780
aaa22,Tulip,1,90.21,290
aaa23,Orchid,1,82.83,100
aaa24,Lavender,2,6.96,870
aaa25,Lotus,2,25.05,410
aaa26,Rose,2,44.38,500
aaa27,Rose,1,25.79,130
aaa28,Tulip,1,34.58,280
aaa29,Lavender,2,80.37,420
aaa30,Orchid,1,96.00,360
aaa31,Tulip,2,52.47,400
aaa32,Orchid,2,20.37,50
aaa33,Orchid,1,74.23,740
aaa34,Orchid,2,70.83,970
aaa35,Lotus,2,42.37,740
aaa36,Tulip,2,3.11,510
aaa37,Lotus,2,62.38,980
aaa38,Lotus,2,64.58,830
aaa39,Orchid,2,20.95,370
aaa40,Rose,1,12.97,330
aaa41,Orchid,1,53.21,190
aaa42,Lotus,1,70.92,450
aaa43,Lavender,1,62.93,630
aaa44,Rose,2,67.29,710
aaa45,Lotus,2,3.63,350
aaa46,Orchid,2,56.53,900
aaa47,Lotus,2,0.64,420
aaa48,Orchid,2,19.04,690
aaa49,Lavender,1,81.06,370
aaa50,Tulip,2,58.22,800
aaa51,Orchid,2,16.64,700
aaa52,Orchid,1,67.10,520
aaa53,Lavender,2,29.90,60
aaa54,Lavender,1,38.22,30
aaa55,Tulip,2,95.57,570
aaa56,Tulip,2,45.39,0
aaa57,Lavender,2,65.64,510
aaa58,Orchid,2,69.21,500
aaa59,Lotus,2,28.50,170
aaa60,Rose,2,91.95,830
aaa61,Rose,2,94.26,230
aaa62,Lotus,2,64.21,20
aaa63,Lotus,2,23.97,850
aaa64,Lavender,1,15.16,860
aaa65,Rose,2,17.98,130
aaa66,Orchid,2,88.95,630
aaa67,Lotus,1,77.55,330
aaa68,Orchid,1,16.49,200
aaa69,Orchid,1,86.13,380
aaa70,Lavender,2,59.43,180
aaa71,Lavender,1,69.60,150
aaa72,Lotus,2,54.38,380
aaa73,Tulip,1,26.81,700
aaa74,Rose,2,9.61,280
aaa75,Orchid,2,59.05,340
aaa76,Tulip,2,0.61,300
aaa77,Rose,2,59.97,710
aaa78,Orchid,2,91.04,650
aaa79,Orchid,1,31.38,620
aaa80,Rose,2,9.54,580
aaa81,Orchid,2,79.13,310
aaa82,Lavender,1,97.46,340
aaa83,Orchid,2,32.31,870
aaa84,Rose,2,95.41,530
aaa85,Orchid,2,49.99,520
aaa86,Tulip,2,2.04,820
aaa87,Lavender,1,97.93,840
aaa88,Tulip,1,95.19,570
aaa89,Orchid,2,12.78,240
aaa90,Rose,2,66.01,320
aaa91,Lotus,2,55.79,360
aaa92,Lavender,1,81.78,890
aaa93,Lavender,1,10.72,740
aaa94,Lavender,1,92.66,500
aaa95,Lotus,1,46.83,980
aaa96,Rose,1,84.80,570
aaa97,Rose,2,73.99,640
aaa98,Rose,2,77.95,440
aaa99,Lotus,1,2.90,960
aaa100,Tulip,1,18.17,60
aaa101,Orchid,1,44.62,660
aaa102,Tulip,1,38.52,600
aaa103,Rose,2,26.65,250
aaa104,Tulip,1,86.68,320
aaa105,Orchid,2,5.13,70
aaa106,Orchid,2,73.68,700
aaa107,Rose,2,44.03,130
aaa108,Rose,1,66.42,370
aaa109,Tulip,1,55.75,940
aaa110,Rose,2,48.56,430
aaa111,Lotus,2,77.70,730
aaa112,Lotus,2,58.14,580
aaa113,Rose,1,19.45,770
aaa114,Lavender,2,55.45,460
aaa115,Orchid,2,70.81,60
aaa116,Lavender,2,30.39,360
aaa117,Orchid,2,96.28,50
aaa118,Rose,2,93.38,450
aaa119,Orchid,1,2.00,70
aaa120,Rose,1,1.67,390
aaa121,Rose,1,13.20,740
aaa122,Tulip,2,11.71,90
aaa123,Rose,2,48.68,240
aaa124,Lavender,2,7.57,500
aaa125,Lotus,1,97.14,10
aaa126,Orchid,2,86.98,830
aaa127,Orchid,1,89.97,220
aaa128,Orchid,1,18.02,990
aaa129,Orchid,2,33.45,440
aaa130,Orchid,1,16.12,890
aaa131,Orchid,2,8.90,460
aaa132,Lavender,2,55.37,40
aaa133,Orchid,1,18.93,940
aaa134,Orchid,1,4.08,610
aaa135,Orchid,1,6.74,120
aaa136,Orchid,1,98.75,180
aaa137,Orchid,2,3.18,480
aaa138,Orchid,1,38.98,280
aaa139,Tulip,2,6.73,340
aaa140,Lotus,2,89.30,470
aaa141,Lotus,1,56.53,490
aaa142,Lavender,1,2.35,480
aaa143,Rose,1,28.25,20
aaa144,Lavender,2,71.84,180
aaa145,Rose,2,71.12,240
aaa146,Tulip,1,45.15,260
aaa147,Rose,2,62.02,670
aaa148,Orchid,2,27.56,910
aaa149,Rose,2,64.02,710
aaa150,Orchid,1,33.03,910
aaa151,Lavender,1,4.39,40
aaa152,Lotus,1,42.64,990
aaa153,Lavender,1,36.78,280
aaa154,Lotus,2,18.04,430
aaa155,Lotus,1,61.88,30
aaa156,Lavender,1,88.06,940
aaa157,Rose,2,94.81,180
aaa158,Lavender,2,25.40,70
aaa159,Rose,2,44.01,470
aaa160,Lotus,1,69.70,720
aaa161,Tulip,2,52.76,850
aaa162,Rose,1,44.07,50
aaa163,Rose,1,96.72,330
aaa164,Lotus,1,20.93,650
aaa165,Lotus,1,75.76,490
aaa166,Orchid,1,62.76,750
aaa167,Tulip,2,67.34,350
aaa168,Rose,2,84.84,660
aaa169,Lotus,2,20.28,260
aaa170,Rose,2,61.32,240
aaa171,Orchid,2,23.36,480
aaa172,Lavender,1,90.37,440
aaa173,Lavender,1,48.77,330
aaa174,Rose,1,38.23,0
aaa175,Rose,1,85.23,160
aaa176,Tulip,1,83.05,850
aaa177,Rose,2,52.34,430
aaa178,Rose,2,62.78,470
aaa179,Tulip,1,85.77,550
aaa180,Rose,2,77.28,300
aaa181,Lavender,2,86.92,940
aaa182,Lavender,1,90.82,60
aaa183,Orchid,2,65.59,270
aaa184,Orchid,1,92.00,50
aaa185,Lotus,1,66.50,890
aaa186,Orchid,1,66.76,480
aaa187,Orchid,2,83.76,750
aaa188,Tulip,2,35.05,780
aaa189,Tulip,2,43.40,850
aaa190,Rose,2,69.13,860
aaa191,Rose,2,17.44,830
aaa192,Lotus,1,88.40,370
aaa193,Lotus,1,79.30,540
aaa194,Lavender,2,63.97,650
aaa195,Lotus,1,94.32,930
aaa196,Orchid,2,38.37,20
aaa197,Rose,1,25.65,760
aaa198,Lotus,2,43.03,480
aaa199,Lotus,2,45.72,480
aaa200,Lavender,2,25.47,390
aaa201,Lavender,1,83.27,420
aaa202,Lotus,1,51.18,260
aaa203,Rose,2,24.34,260
aaa204,Orchid,1,26.22,690
aaa205,Orchid,2,99.88,390
aaa206,Tulip,1,38.46,60
aaa207,Tulip,1,26.71,690
aaa208,Tulip,1,48.85,810
aaa209,Lotus,2,23.05,980
aaa210,Rose,2,57.67,660
